Modification,Size,BPCY,TargetFlux,WYIELD
"{'P07143': 0, 'P12695': 8, 'P32264': 4, 'Q12189': 0.125, 'P28777': 0.5}",5,0.955804584542104,5.87419277658956,1.85425369068373
"{'P07143': 0, 'P12695': 8, 'Q06549': 16, 'P32785': 0.25, 'Q12189': 0.125, 'P36421': 0.125, 'P28777': 0.5, 'P33333': 0.125, 'P47190': 0.0625}",9,0.947736613507336,5.82460856456494,3.82444100736649
"{'P07143': 0, 'P32264': 16, 'P12695': 8, 'P07257': 0.125, 'P53296': 0, 'P54857': 0, 'Q12189': 0.0625, 'Q05533': 32}",8,0.666016472695661,6.06002098028283,2.33724830197886
"{'P07143': 0, 'P12695': 8, 'P36421': 0.125, 'Q12189': 0.125, 'P07347': 0.03125}",5,0.189539860366626,4.65950284345038,3.82444118280471
"{'P32419': 32, 'P06106': 2, 'P07262': 4, 'P16451': 8, 'P22289': 0, 'P28777': 0.25, 'P08525': 0}",7,0.608418838247571,7.47845240036631,2.4597360058049
"{'P28777': 0.125, 'P16451': 4, 'P07258': 4, 'P07262': 4, 'P22289': 0}",5,0.191607005473912,4.71032032678149,3.89361366579855
"{'P16451': 4, 'P28777': 0.125, 'P07258': 4, 'P07262': 2, 'P08525': 0}",5,0.120299721462389,2.95735645305261,4.13950430941394
